collection_id,ja_hanja,ho_hanja
0068,國華,逍遙齋
0069,悅卿,梅月堂/東峰/碧山淸隱
0070,放翁,靑坡
0071,兼善,虛白亭/涵虛亭
0072,磬叔,虛白堂/慵齋/浮休子
0073,可行,大峰
0074,引甫,格齋/勉齋
0075,克己,林溪/㵢溪
0076,君節,顔樂堂
0077,馨之,蓮軒
0078,耆之,懶齋
0079,少游,藍溪
0080,伯勗,一蠹/睡翁
0081,伯恭,秋江/杏雨/最樂堂/碧沙
0082,不崩,月軒
0083,太虛,梅溪
0085,浪翁,四雨亭
0086,弼卿,山堂
0087,仲鈞,慵齋/慵軒/浮休子/尙友堂/藏六居士
0088,浪翁,再思堂
0089,士勛,守夫
0090,漑之,二樂亭/松溪/休休子/睡翁
0091,士浩,木溪/東皐
0092,季雲,濯纓/少微山人
0093,嚮之,睡軒
0094,棐仲,聾巖/雪鬢翁
0095,胄之,忘軒
0096,明仲,松齋
0097,淳夫,虛庵
0098,子實,松堂
0099,中雍,寒齋
0100,公碩,十淸軒/知非翁
0101,伯益,安分堂
